episode_code,n_evaluations,n_distinct_answers,n_na,modal_answer,median,iqr,range,std,unanimous,valid
CMS01E04,10,2,0,-1,-1.0,0.0,2.0,0.8432740427115679,False,True
CMS01E06,10,2,0,-1,-1.0,2.0,2.0,1.0327955589886444,False,True
CMS02E04,10,1,10,N/A,,,,,True,False
CMS02E09,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS03E01,10,2,6,N/A,-1.0,0.0,0.0,0.0,False,False
CMS03E05,10,2,7,N/A,1.0,0.0,0.0,0.0,False,False
CMS03E06,10,2,3,1,1.0,0.0,0.0,0.0,False,True
CMS03E12,10,1,10,N/A,,,,,True,False
CMS04E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS04E15,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS05E04,10,2,8,N/A,-1.0,0.0,0.0,0.0,False,False
CMS05E06,10,2,6,N/A,1.0,0.0,0.0,0.0,False,False
CMS05E15,10,2,8,N/A,1.0,0.0,0.0,0.0,False,False
CMS06E01,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS06E02,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS06E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS06E10,10,3,5,N/A,1.0,2.0,2.0,1.0954451150103321,False,True
CMS06E13,10,1,10,N/A,,,,,True,False
CMS06E16,10,1,10,N/A,,,,,True,False
CMS07E01,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS07E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS07E11,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS07E14,10,1,10,N/A,,,,,True,False
CMS07E19,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS08E08,10,2,7,N/A,1.0,0.0,0.0,0.0,False,False
CMS08E11,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS08E12,10,2,8,N/A,0.0,0.0,0.0,0.0,False,False
CMS08E16,10,1,0,1,1.0,0.0,0.0,0.0,True,True
CMS09E02,10,3,0,-1,-1.0,1.75,2.0,0.9486832980505138,False,True
CMS10E03,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS01E01,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS01E05,10,2,7,N/A,-1.0,0.0,0.0,0.0,False,False
ERS01E06,10,1,0,1,1.0,0.0,0.0,0.0,True,True
