series,season,episode,episode_code,bool_response,explanation
CM,1,1,CMS01E01,No,
CM,1,2,CMS01E02,No,
CM,1,3,CMS01E03,No,
CM,1,4,CMS01E04,Yes,"There are explicit references to racism and racial prejudice in the subtitles. For example, Mrs. Kovach says to Dr. Choi, 'The Orientals make the best doctors. It's their math skills,' which is a clear racial stereotype and microaggression. Later, it's revealed that Mrs. Kovach is part African-American, and there is discussion about 'the bigotry.' These moments directly address racial prejudice and stereotypes, making the topic present in the episode."
CM,1,5,CMS01E05,No,
CM,1,6,CMS01E06,Yes,"The episode includes both explicit and implicit references to racism, racial discrimination, and prejudice. Explicitly, the storyline involving Maria Gonzalez and her brother Miguel, who are undocumented immigrants from Mexico, addresses systemic inequalities and discrimination. Maria is deported (repatriated) by the hospital due to her undocumented status and lack of insurance, despite being in critical condition. This reflects systemic discrimination against immigrants, particularly those from Latin America. Additionally, the involvement of Homeland Security and the way the siblings are treated as stowaways further highlights issues of racial and ethnic prejudice. While there are no racial slurs or overtly racist remarks, the narrative clearly depicts the challenges and prejudices faced by undocumented immigrants, which are rooted in racial and ethnic discrimination."
CM,1,7,CMS01E07,No,
CM,1,8,CMS01E08,No,
CM,1,9,CMS01E09,No,
CM,1,10,CMS01E10,No,
CM,1,11,CMS01E11,No,
CM,1,12,CMS01E12,No,
CM,1,13,CMS01E13,No,
CM,1,14,CMS01E14,No,
CM,1,15,CMS01E15,No,
CM,1,16,CMS01E16,No,
CM,1,17,CMS01E17,No,
CM,1,18,CMS01E18,No,
CM,2,1,CMS02E01,No,
CM,2,2,CMS02E02,No,
CM,2,3,CMS02E03,No,
CM,2,4,CMS02E04,Yes,"There is an implicit reference to racial prejudice when Mr. Hall, a patient, says to Dr. Choi, 'You're Chinese. I saw the Great Wall.' This comment reduces Dr. Choi to his ethnicity and makes an assumption based on his appearance, which is a form of racial microaggression and prejudice."
CM,2,5,CMS02E05,No,
CM,2,6,CMS02E06,No,
CM,2,7,CMS02E07,No,
CM,2,8,CMS02E08,No,
CM,2,9,CMS02E09,Yes,"There are explicit references to racism and racial prejudice in the subtitles. For example, the character Ricky Wade uses racial slurs such as 'towelhead' and makes derogatory comments about his opponent, Cyrus Hammad, referring to him as 'Arab' in a negative context. There are also implications of anti-Muslim sentiment ('the crowd, they cheered for blood. They wanted to see the Muslim boy get killed.') and a discussion about experiencing bias due to having a non-Western last name ('Not many families with the last name Choi where I grew up. Know the type all too well.'). These references indicate both explicit and implicit racism and racial prejudice."
CM,2,10,CMS02E10,No,
CM,2,11,CMS02E11,No,
CM,2,12,CMS02E12,No,
CM,2,13,CMS02E13,No,
CM,2,14,CMS02E14,No,
CM,2,15,CMS02E15,No,
CM,2,16,CMS02E16,No,
CM,2,17,CMS02E17,No,
CM,2,18,CMS02E18,No,
CM,2,19,CMS02E19,No,
CM,2,20,CMS02E20,No,
CM,2,21,CMS02E21,No,
CM,2,22,CMS02E22,No,
CM,2,23,CMS02E23,No,
CM,3,1,CMS03E01,Yes,"There are implicit references to systemic inequalities and the impact of violence in certain neighborhoods, which often correlate with racial and socioeconomic disparities. For example, the discussion about Mr. Jameson, who was shot and cannot safely return home because 'there's guys hanging around waiting to pop him again' in Garfield Park, and Maggie's comment, 'Treat 'em and street 'em is fine for people who live on your street. Not his,' suggest awareness of systemic issues that disproportionately affect marginalized communities, often along racial lines. Additionally, the conversation about lacking access to dental care due to financial hardship also hints at systemic inequalities that can be tied to race and ethnicity in many contexts."
CM,3,2,CMS03E02,No,
CM,3,3,CMS03E03,No,
CM,3,4,CMS03E04,No,
CM,3,5,CMS03E05,Yes,"The topic of racism, racial discrimination, or racial prejudice is implied and mentioned in several ways. Most explicitly, Abena and her aunt, who are immigrants from Ghana, express concern that they are not receiving the best medical care because of their immigrant status and lack of insurance, which points to perceived or experienced systemic discrimination. Additionally, the dialogue discusses the HIV/AIDS stigma Abena likely faced 'growing up in Africa,' referencing HIV-related stigma and discrimination. There is also a scene where a character is asked to put on a mask before touching her niece, and the aunt questions if this is because her niece is 'contagious,' which can be read as an implicit reference to how people with certain illnesses (often racialized or associated with particular groups) are treated. These elements together indicate the presence of racial prejudice and discrimination, both systemic and interpersonal."
CM,3,6,CMS03E06,Yes,"The episode includes a storyline about a woman from North Carolina who, as a teenager, was sterilized without her knowledge or consent as part of a court order, reflecting the real-life history of forced sterilizations that disproportionately targeted poor women and women of color, especially in the American South. The subtitles explicitly mention that, up until 1973 in North Carolina, women could be sterilized without their knowledge or consent, and the character's mother describes the judge 'who practically ran the county' making the decision. This is a clear reference to systemic racism and eugenics policies that were racially and socioeconomically motivated. The discussion about poverty and lack of access to healthcare further implies systemic inequalities. Therefore, both explicit and implicit references to racial discrimination and systemic prejudice are present."
CM,3,7,CMS03E07,No,
CM,3,8,CMS03E08,No,
CM,3,9,CMS03E09,No,
CM,3,10,CMS03E10,No,
CM,3,11,CMS03E11,No,
CM,3,12,CMS03E12,Yes,"There are implicit references to systemic inequalities and prejudice that often have racial or ethnic dimensions, even if not stated explicitly. For example, the storyline about the hospital allegedly prioritizing insured patients over indigent (uninsured) ones, and the ambulance driver saying 'Look around. The TV. The pizza? Everyone knows this room's just a ploy to get us to bring in paying customers.' This reflects systemic discrimination that, in the US context, disproportionately affects racial minorities. Additionally, the discussion around foster care and the challenges faced by homeless, underage, and pregnant girls alludes to broader systemic inequalities, which are often intertwined with racial and ethnic prejudice. While there are no explicit mentions of race or racial slurs, the presence of these systemic issues and their implications suggest that the topic is at least implied."
CM,3,13,CMS03E13,No,
CM,3,14,CMS03E14,No,
CM,3,15,CMS03E15,No,
CM,3,16,CMS03E16,No,
CM,3,17,CMS03E17,No,
CM,3,18,CMS03E18,No,
CM,3,19,CMS03E19,No,
CM,3,20,CMS03E20,No,
CM,4,1,CMS04E01,No,
CM,4,2,CMS04E02,No,
CM,4,3,CMS04E03,No,
CM,4,4,CMS04E04,Yes,"The episode contains multiple explicit and implicit references to racism, racial prejudice, and discrimination. Explicitly, a white patient seeking opioids complains about a Latino patient, using derogatory language ('some hombre that probably can't even speak the language', 'Mexican or whatever'), and claims he is receiving preferential treatment despite being an immigrant. Implicitly, the storyline involving undocumented immigrants (Linda and Manny) highlights systemic discrimination: Linda is denied access to life-saving medical care due to her immigration status, and Manny refuses to donate stem cells out of fear of deportation. Ultimately, Manny is arrested by ICE at the hospital, and the narrative discusses the fear and barriers immigrants face in accessing healthcare, which are rooted in systemic racial and ethnic prejudice."
CM,4,5,CMS04E05,No,
CM,4,6,CMS04E06,No,
CM,4,7,CMS04E07,No,
CM,4,8,CMS04E08,No,
CM,4,9,CMS04E09,No,
CM,4,10,CMS04E10,No,
CM,4,11,CMS04E11,No,
CM,4,12,CMS04E12,No,
CM,4,13,CMS04E13,No,
CM,4,14,CMS04E14,No,
CM,4,15,CMS04E15,Yes,"There are explicit references to racism and racial prejudice in the subtitles. The driver of the truck expresses white supremacist views, saying, 'They're trying to deny our heritage... All this mixing, they wanna eliminate us. 'Us'? The white race. But before cancer takes me, I'm taking some of them. Was hoping for 20, but the day's not over yet.' Additionally, a patient makes a racist comment to a Black nurse ('One of those bossy blacks, aren't you?'), and there is a discussion about organ donation where a character refuses to donate her daughter's organs because she can't ensure they won't go to 'some racist like the man who did this.' There are also references to the deeper impact of racism on the characters' decisions and experiences."
CM,4,16,CMS04E16,No,
CM,4,17,CMS04E17,No,
CM,4,18,CMS04E18,No,
CM,4,19,CMS04E19,No,
CM,4,20,CMS04E20,No,
CM,4,21,CMS04E21,No,
CM,4,22,CMS04E22,No,
CM,5,1,CMS05E01,No,
CM,5,2,CMS05E02,No,
CM,5,3,CMS05E03,No,
CM,5,4,CMS05E04,Yes,"There is an explicit reference to racism and racial prejudice in the scene where a conspiracy theory is spreading online, blaming the outbreak on 'MS-13 El Salvadoran plot to get revenge on America' and implicating 'Mama Garcia' because of her ethnicity and proximity to the outbreak. This is a clear example of racial scapegoating and prejudice being discussed or depicted in the episode."
CM,5,5,CMS05E05,No,
CM,5,6,CMS05E06,Yes,"There are implicit references to racial prejudice and systemic inequality. For example, Jacinta, a young woman, is attacked and refuses police help because she is 'illegal,' but it is later revealed she was born in Indiana and lied about her status to avoid police, suggesting fear of law enforcement due to racial profiling or immigration-related discrimination. The episode also depicts microaggressions and mistrust between patients and medical staff, which can be influenced by racial or ethnic biases, though not always stated explicitly. Additionally, the storyline involving gang initiation and foster care touches on systemic issues that disproportionately affect racial minorities. These elements imply the presence of racial prejudice and discrimination."
CM,5,7,CMS05E07,No,
