series,season,episode,episode_code,bool_response,explanation
Braccialetti Rossi,1,1,Braccialetti RossiS01E01,No,
Braccialetti Rossi,1,2,Braccialetti RossiS01E02,No,
Braccialetti Rossi,1,3,Braccialetti RossiS01E03,No,
Braccialetti Rossi,1,4,Braccialetti RossiS01E04,No,
Braccialetti Rossi,1,5,Braccialetti RossiS01E05,No,
Braccialetti Rossi,1,6,Braccialetti RossiS01E06,No,
Braccialetti Rossi,2,1,Braccialetti RossiS02E01,No,
Braccialetti Rossi,2,2,Braccialetti RossiS02E02,Yes,"There are implicit references to racial prejudice and stereotyping. In one scene, a character named Chicco is assumed to be Chinese, and other characters make jokes about his name and background, conflating 'Filippino' with 'Chinese' and making stereotypical comments about Asian names and martial arts ('Chin-Chan-Pai, Cheung-Ful, Cheung-Cherin...'). The character has to correct them, saying he is Filipino, not Chinese, but the others dismiss the distinction ('Filippino-cinese sempre asiatico sei'). This exchange relies on racial and ethnic stereotypes and demonstrates microaggressions and ignorance about Asian identities, which are forms of racial prejudice."
Braccialetti Rossi,2,3,Braccialetti RossiS02E03,No,
Braccialetti Rossi,2,4,Braccialetti RossiS02E04,No,
Braccialetti Rossi,2,5,Braccialetti RossiS02E05,Yes,"There is an implicit reference to race and possible racial stereotyping in the conversation about 'il ragazzo filippino, tutto cicciottello. Con quel faccione sembra Kung Fu Panda.' This description of a Filipino boy using physical stereotypes and comparing him to a cartoon character with Asian features suggests the presence of racial stereotyping and potentially racial prejudice. While the rest of the episode does not contain explicit discussions of racism or racial discrimination, this instance is enough to warrant a 'Yes' answer."
Braccialetti Rossi,3,1,Braccialetti RossiS03E01,No,
Braccialetti Rossi,3,2,Braccialetti RossiS03E02,No,
Braccialetti Rossi,3,3,Braccialetti RossiS03E03,No,
Braccialetti Rossi,3,4,Braccialetti RossiS03E04,No,
Braccialetti Rossi,3,5,Braccialetti RossiS03E05,No,
Braccialetti Rossi,3,6,Braccialetti RossiS03E06,No,
Braccialetti Rossi,3,7,Braccialetti RossiS03E07,No,
Braccialetti Rossi,3,8,Braccialetti RossiS03E08,No,
Crimini bianchi,1,1,Crimini bianchiS01E01,No,
Crimini bianchi,1,2,Crimini bianchiS01E02,No,
Crimini bianchi,1,3,Crimini bianchiS01E03,No,
Crimini bianchi,1,4,Crimini bianchiS01E04,No,
Crimini bianchi,1,5,Crimini bianchiS01E05,No,
Crimini bianchi,1,6,Crimini bianchiS01E06,No,
Crimini bianchi,1,7,Crimini bianchiS01E07,Yes,"There are explicit references to racism and racial prejudice in the subtitles. For example, a character refers to 'le nigeriane che dalla mattina alla sera ti rompono i coglioni per un po' di cortisone... per sbiancarsi la pelle' and makes derogatory comments about Albanians. There is also discussion about undocumented immigrants not being registered as patients, and the hardships faced by foreign workers like Manuela and her daughter Alicia. These elements indicate both explicit and implicit racial prejudice and systemic discrimination."
Crimini bianchi,1,8,Crimini bianchiS01E08,No,
Crimini bianchi,1,9,Crimini bianchiS01E09,Yes,"There are both explicit and implicit references to racism and racial prejudice. Explicitly, there are discussions about the Chinese community not wanting to 'mischiarsi con noi' (mix with us), and the difficulties Tuia faces as a member of the Chinese community in Italy, including her reluctance to seek medical help and the violence she experiences from her own family to 'save face' in the community. There are also comments about living 'da stranieri' (as foreigners) in Italy, and the episode explores the challenges and microaggressions faced by immigrants and ethnic minorities. The mention of 'discriminazioni razziali' (racial discrimination) in a joking context further suggests the presence of the theme."
Crimini bianchi,1,10,Crimini bianchiS01E10,No,
Crimini bianchi,1,11,Crimini bianchiS01E11,No,
Crimini bianchi,1,12,Crimini bianchiS01E12,No,
Cuori,1,1,CuoriS01E01,No,
Cuori,1,2,CuoriS01E02,No,
Cuori,1,3,CuoriS01E03,No,
Cuori,1,4,CuoriS01E04,No,
Cuori,1,5,CuoriS01E05,No,
Cuori,1,6,CuoriS01E06,No,
Cuori,1,7,CuoriS01E07,No,
Cuori,1,8,CuoriS01E08,No,
Cuori,1,9,CuoriS01E09,No,
Cuori,1,10,CuoriS01E10,No,
Cuori,1,11,CuoriS01E11,No,
Cuori,1,12,CuoriS01E12,Yes,"There is an implicit reference to racial or ethnic prejudice in the following exchange: 'Tu non vali meno di nessuno dei tuoi colleghi, nonostante tutto.' 'Nonostante cosa? Le mie origini, eh?' This suggests that the character feels or is made to feel that their background or origins (potentially ethnic or racial) are a factor in how they are perceived or treated, which implies the presence of prejudice or discrimination based on origin, which can include race or ethnicity."
Cuori,2,1,CuoriS02E01,No,
Cuori,2,2,CuoriS02E02,No,
Cuori,2,3,CuoriS02E03,No,
Cuori,2,4,CuoriS02E04,No,
Cuori,2,5,CuoriS02E05,No,
Cuori,2,6,CuoriS02E06,No,
Cuori,2,7,CuoriS02E07,No,
Cuori,2,8,CuoriS02E08,No,
Cuori,2,9,CuoriS02E09,No,
Cuori,2,10,CuoriS02E10,No,
Cuori,2,11,CuoriS02E11,No,
