model,episode,attempts,mean_score,unanimous,iqr,range,std
deepseek-v3,CMS02E09,5,-1.4,False,1.0,4,1.5166
deepseek-v3,CMS02E16,5,-1.0,False,0.0,2,0.7071
deepseek-v3,DHS01E12,5,-1.8,False,0.0,1,0.4472
deepseek-v3,DHS03E12,5,-0.4,False,1.0,1,0.5477
deepseek-v3,DHS05E01,5,0.6,False,1.0,1,0.5477
deepseek-v3,ERS04E19,5,1.0,False,2.0,2,1.0
deepseek-v3,ERS05E07,5,0.0,False,0.0,2,0.7071
deepseek-v3,GAS01E08,5,-0.4,False,1.0,1,0.5477
deepseek-v3,GAS01E09,5,0.0,True,0.0,0,0.0
deepseek-v3,GAS02E01,5,0.0,False,0.0,2,0.7071
deepseek-v3,GAS02E03,5,0.0,False,0.0,2,0.7071
deepseek-v3,GAS07E22,5,1.4,False,1.0,1,0.5477
deepseek-v3,GAS08E01,5,0.6,False,1.0,1,0.5477
deepseek-v3,GAS08E02,5,0.0,False,0.0,2,0.7071
deepseek-v3,GDS04E06,5,1.2,False,1.0,2,0.8367
deepseek-v3,GDS04E09,5,1.2,False,1.0,2,0.8367
deepseek-v3,GDS04E12,5,0.2,False,0.0,3,1.0954
deepseek-v3,GDS06E15,5,-0.6,False,1.0,1,0.5477
deepseek-v3,NAS02E06,5,1.0,False,0.0,2,0.7071
deepseek-v3,NAS05E07,5,2.0,False,0.0,2,0.7071
gemini-2.5,CMS02E09,5,-2.2,False,0.0,1,0.4472
gemini-2.5,CMS02E16,5,0.6,False,1.0,3,1.1402
gemini-2.5,DHS01E12,5,-1.6,False,1.0,1,0.5477
gemini-2.5,DHS03E12,5,1.8,False,0.0,1,0.4472
gemini-2.5,DHS05E01,5,1.2,False,1.0,2,0.8367
gemini-2.5,ERS04E19,5,0.4,False,1.0,1,0.5477
gemini-2.5,ERS05E07,5,-0.6,False,1.0,1,0.5477
gemini-2.5,GAS01E08,5,1.8,False,0.0,1,0.4472
gemini-2.5,GAS01E09,5,-0.2,False,1.0,2,0.8367
gemini-2.5,GAS02E01,5,2.0,True,0.0,0,0.0
gemini-2.5,GAS02E03,5,1.4,False,1.0,1,0.5477
gemini-2.5,GAS07E22,5,1.6,False,1.0,1,0.5477
gemini-2.5,GAS08E01,5,2.0,True,0.0,0,0.0
gemini-2.5,GAS08E02,5,1.8,False,0.0,1,0.4472
gemini-2.5,GDS04E06,5,1.6,False,1.0,1,0.5477
gemini-2.5,GDS04E09,5,1.6,False,1.0,1,0.5477
gemini-2.5,GDS04E12,5,1.0,True,0.0,0,0.0
gemini-2.5,GDS06E15,5,0.8,False,0.0,1,0.4472
gemini-2.5,NAS02E06,5,1.4,False,1.0,2,0.8944
gemini-2.5,NAS05E07,5,2.2,False,0.0,1,0.4472
gpt-4.1,CMS02E09,5,-0.8,False,0.0,1,0.4472
gpt-4.1,CMS02E16,5,-0.6,False,1.0,2,0.8944
gpt-4.1,DHS01E12,5,-1.0,False,1.0,3,1.2247
gpt-4.1,DHS03E12,5,-0.2,False,1.0,2,0.8367
gpt-4.1,DHS05E01,5,0.2,False,0.0,1,0.4472
gpt-4.1,ERS04E19,5,0.4,False,1.0,1,0.5477
gpt-4.1,ERS05E07,5,0.2,False,0.0,1,0.4472
gpt-4.1,GAS01E08,5,0.0,True,0.0,0,0.0
gpt-4.1,GAS01E09,5,0.2,False,0.0,1,0.4472
gpt-4.1,GAS02E01,5,0.8,False,0.0,1,0.4472
gpt-4.1,GAS02E03,5,0.2,False,0.0,1,0.4472
gpt-4.1,GAS07E22,5,1.2,False,0.0,1,0.4472
gpt-4.1,GAS08E01,5,1.2,False,1.0,2,0.8367
gpt-4.1,GAS08E02,5,0.0,True,0.0,0,0.0
gpt-4.1,GDS04E06,5,0.8,False,0.0,1,0.4472
gpt-4.1,GDS04E09,5,1.4,False,1.0,1,0.5477
gpt-4.1,GDS04E12,5,0.6,False,1.0,1,0.5477
gpt-4.1,GDS06E15,5,0.0,True,0.0,0,0.0
gpt-4.1,NAS02E06,5,0.8,False,0.0,1,0.4472
gpt-4.1,NAS05E07,5,2.0,True,0.0,0,0.0
gpt-4o-mini,CMS02E09,5,-2.0,True,0.0,0,0.0
gpt-4o-mini,CMS02E16,5,-2.0,True,0.0,0,0.0
gpt-4o-mini,DHS01E12,5,-0.8,False,0.0,3,1.0954
gpt-4o-mini,DHS03E12,5,-1.6,False,1.0,1,0.5477
gpt-4o-mini,DHS05E01,5,1.6,False,1.0,1,0.5477
gpt-4o-mini,ERS04E19,5,0.4,False,0.0,3,1.3416
gpt-4o-mini,ERS05E07,5,1.2,False,1.0,2,0.8367
gpt-4o-mini,GAS01E08,5,0.8,False,0.0,1,0.4472
gpt-4o-mini,GAS01E09,5,1.0,False,1.0,3,1.2247
gpt-4o-mini,GAS02E01,5,0.8,False,0.0,1,0.4472
gpt-4o-mini,GAS02E03,5,0.4,False,1.0,2,0.8944
gpt-4o-mini,GAS07E22,5,2.4,False,1.0,1,0.5477
gpt-4o-mini,GAS08E01,5,1.4,False,1.0,1,0.5477
gpt-4o-mini,GAS08E02,5,0.2,False,1.0,2,0.8367
gpt-4o-mini,GDS04E06,5,1.0,True,0.0,0,0.0
gpt-4o-mini,GDS04E09,5,0.8,False,0.0,1,0.4472
gpt-4o-mini,GDS04E12,5,0.6,False,1.0,1,0.5477
gpt-4o-mini,GDS06E15,5,1.0,False,0.0,2,0.7071
gpt-4o-mini,NAS02E06,5,1.6,False,1.0,1,0.5477
gpt-4o-mini,NAS05E07,5,2.6,False,1.0,1,0.5477
